DEBUG [2023-12-04 13:08:20] successful result of read.model()
DEBUG [2023-12-04 13:08:36] successful result of init.var.parameters.and.matrices()
WARN  [2023-12-04 13:13:05]  ntimesteps = 8041 in 00:04:28 elapsed (00:04:18 cpu) which may be excessive ; please reconsider parameter values
DEBUG [2023-12-04 13:13:08] successful result of run.deSolve()
DEBUG [2023-12-04 13:13:18] successful generation of stocks output from generate.prevalence.output()
DEBUG [2023-12-04 13:13:18] at t=1987 2 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1987.5 2 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1988 3 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1988.5 8 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1989 8 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1989.5 8 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1990 10 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1990.5 13 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1991 13 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1991.5 13 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1992 13 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1992.5 15 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1993 16 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1993.5 18 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1994 19 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1994.5 18 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1995 19 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1995.5 18 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1996 19 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1996.5 18 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
DEBUG [2023-12-04 13:13:18] at t=1997 19 age groups with HIV TB deaths exceeding all cause mortality (WHO deathrates) ; capping background deaths to ensure background deaths >= 0
